bucket,file,cyclomatic,cognitive_complexity,ncloc,code_smells,bugs,vulnerabilities,duplicated_lines_density,cbo,cohesion_proxy
"websocket","src/websocket/DistributionStrategy.js","1","0","12","0","0","0","0","0","0"
"websocket","src/websocket/InterestFilterStrategy.js","6","5","37","2","0","0","0","1","1"
"notifications","src/services/notifications/mediatorNotifier.js","11","13","95","3","0","0","0","1","1"
"websocket","src/websocket/MediatorStrategy.js","1","0","21","1","0","0","0","1","1"
"notifications","src/services/notifications/observerNotifier.js","8","16","59","2","0","0","0","1","1"
"websocket","src/websocket/ObserverStrategy.js","1","0","22","5","0","0","0","1","1"
"notifications","src/services/notifications/pubsubNotifier.js","9","12","77","3","0","0","0","1","1"
"websocket","src/websocket/PubSubStrategy.js","2","1","21","2","0","0","0","1","1"
"websocket","src/websocket/strategies.config.js","3","1","22","0","0","0","0","4","1"
"websocket","src/websocket/WebSocketContext.js","11","11","83","2","0","0","0","1","1"
